"week","TotalInvestment","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other"
1,2.27242524916944,0.026578073089701,0.332225913621262,0.983388704318937,0,0.172757475083056,0.0664451827242525,0.664451827242525,0,0
2,3.97674418604651,0.0465116279069768,0.581395348837209,1.72093023255814,0,0.302325581395349,0.116279069767442,1.16279069767442,0,0
3,3.97674418604651,0.0465116279069768,0.581395348837209,1.72093023255814,0,0.302325581395349,0.116279069767442,1.16279069767442,0,0
4,3.97674418604651,0.0465116279069768,0.581395348837209,1.72093023255814,0,0.302325581395349,0.116279069767442,1.16279069767442,0,0
5,3.578073089701,0.0398671096345515,0.541528239202658,1.51162790697674,0,0.262458471760797,0.102990033222591,1.0797342192691,0,0
6,1.18604651162791,0,0.302325581395349,0.255813953488372,0,0.0232558139534884,0.0232558139534884,0.581395348837209,0,0
7,1.18604651162791,0,0.302325581395349,0.255813953488372,0,0.0232558139534884,0.0232558139534884,0.581395348837209,0,0
8,1.18604651162791,0,0.302325581395349,0.255813953488372,0,0.0232558139534884,0.0232558139534884,0.581395348837209,0,0
9,1.18604651162791,0,0.302325581395349,0.255813953488372,0,0.0232558139534884,0.0232558139534884,0.581395348837209,0,0
10,16.3355481727575,0.647840531561462,0.318936877076412,10.5049833887043,0.0996677740863787,2.73089700996678,0.837209302325582,1.19601328903654,0,0
11,22.3953488372093,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0
12,22.3953488372093,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0
13,22.3953488372093,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0
14,29.7607973421927,1.12624584717608,1.44186046511628,16.7873754152824,0.418604651162791,4.61129568106312,1.36212624584718,4.00332225913621,0,0
15,39.5813953488372,1.41860465116279,2.93023255813953,19.6976744186047,0.790697674418605,5.67441860465116,1.62790697674419,7.41860465116279,0,0
16,39.5813953488372,1.41860465116279,2.93023255813953,19.6976744186047,0.790697674418605,5.67441860465116,1.62790697674419,7.41860465116279,0,0
17,39.5813953488372,1.41860465116279,2.93023255813953,19.6976744186047,0.790697674418605,5.67441860465116,1.62790697674419,7.41860465116279,0,0
18,39.5813953488372,1.41860465116279,2.93023255813953,19.6976744186047,0.790697674418605,5.67441860465116,1.62790697674419,7.41860465116279,0,0
19,11.906976744186,0.976744186046512,0.302325581395349,3.30232558139535,0.0465116279069768,4.55813953488372,1.53488372093023,1.2093023255814,0,0
20,11.906976744186,0.976744186046512,0.302325581395349,3.30232558139535,0.0465116279069768,4.55813953488372,1.53488372093023,1.2093023255814,0,0
21,11.906976744186,0.976744186046512,0.302325581395349,3.30232558139535,0.0465116279069768,4.55813953488372,1.53488372093023,1.2093023255814,0,0
22,11.906976744186,0.976744186046512,0.302325581395349,3.30232558139535,0.0465116279069768,4.55813953488372,1.53488372093023,1.2093023255814,0,0
23,21.1262458471761,1.17607973421927,0.601328903654485,10.3621262458472,0.196013289036545,5.03986710963455,1.56810631229236,2.20598006644518,0,0
24,24.8139534883721,1.25581395348837,0.72093023255814,13.1860465116279,0.255813953488372,5.23255813953488,1.58139534883721,2.6046511627907,0,0
25,24.8139534883721,1.25581395348837,0.72093023255814,13.1860465116279,0.255813953488372,5.23255813953488,1.58139534883721,2.6046511627907,0,0
26,24.8139534883721,1.25581395348837,0.72093023255814,13.1860465116279,0.255813953488372,5.23255813953488,1.58139534883721,2.6046511627907,0,0
27,22.6544850498339,1.18936877076412,0.548172757475083,9.69767441860465,0.242524916943522,5.25913621262458,1.62126245847176,2.13953488372093,0.179401993355482,1.80066445182724
28,17.2558139534884,1.02325581395349,0.116279069767442,0.976744186046512,0.209302325581395,5.32558139534884,1.72093023255814,0.976744186046512,0.627906976744186,6.30232558139535
29,17.2558139534884,1.02325581395349,0.116279069767442,0.976744186046512,0.209302325581395,5.32558139534884,1.72093023255814,0.976744186046512,0.627906976744186,6.30232558139535
30,17.2558139534884,1.02325581395349,0.116279069767442,0.976744186046512,0.209302325581395,5.32558139534884,1.72093023255814,0.976744186046512,0.627906976744186,6.30232558139535
31,17.2558139534884,1.02325581395349,0.116279069767442,0.976744186046512,0.209302325581395,5.32558139534884,1.72093023255814,0.976744186046512,0.627906976744186,6.30232558139535
32,12.0531561461794,0.664451827242525,0.395348837209302,2.47176079734219,0.149501661129568,4.72757475083056,1.54152823920266,1.11627906976744,0.0897009966777409,0.900332225913621
33,11.1860465116279,0.604651162790698,0.441860465116279,2.72093023255814,0.13953488372093,4.62790697674419,1.51162790697674,1.13953488372093,0,0
34,11.1860465116279,0.604651162790698,0.441860465116279,2.72093023255814,0.13953488372093,4.62790697674419,1.51162790697674,1.13953488372093,0,0
35,11.1860465116279,0.604651162790698,0.441860465116279,2.72093023255814,0.13953488372093,4.62790697674419,1.51162790697674,1.13953488372093,0,0
36,19.8073089700997,1.71760797342193,0.475083056478405,7.68770764119601,0.106312292358804,4.37873754152824,1.46179401993355,1.18936877076412,0.149501661129568,2.64119601328904
37,23.2558139534884,2.16279069767442,0.488372093023256,9.67441860465116,0.0930232558139535,4.27906976744186,1.44186046511628,1.2093023255814,0.209302325581395,3.69767441860465
38,23.2558139534884,2.16279069767442,0.488372093023256,9.67441860465116,0.0930232558139535,4.27906976744186,1.44186046511628,1.2093023255814,0.209302325581395,3.69767441860465
