"week","units","gmv","product_mrp","discount_mrp","discount","sla","procurement_sla","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS","Holiday.Sale"
1,28,18196,1422.53571428571,649,54.3772438552886,2.5,2.60714285714286,0.026578073089701,0.332225913621262,0.983388704318937,0,0.172757475083056,0.0664451827242525,0.664451827242525,0,0,54.6,0
2,2599,3341843,2322.63995167137,1285,44.6750238204024,6.9049536850584,2.64236810310109,0.0465116279069768,0.581395348837209,1.72093023255814,0,0.302325581395349,0.116279069767442,1.16279069767442,0,0,54.6,0
3,3326,4884098,2529.26001863933,1468,41.9593086838995,6.73501087294191,2.60049704877291,0.0465116279069768,0.581395348837209,1.72093023255814,0,0.302325581395349,0.116279069767442,1.16279069767442,0,0,54.6,1
4,3313,4514154,2415.65640703518,1362,43.6178093857465,6.44032663316583,2.74560301507538,0.0465116279069768,0.581395348837209,1.72093023255814,0,0.302325581395349,0.116279069767442,1.16279069767442,0,0,54.6,1
5,2710,3588231,2365.81070597362,1324,44.0360973658236,6.42591155934833,2.66951124903026,0.0398671096345515,0.541528239202658,1.51162790697674,0,0.262458471760797,0.102990033222591,1.0797342192691,0,0,57.3,0
6,6,2496,666.666666666667,416,37.6,6.66666666666667,4.33333333333333,0,0.302325581395349,0.255813953488372,0,0.0232558139534884,0.0232558139534884,0.581395348837209,0,0,60,0
7,3,1397,1576,465,70.494923857868,8.66666666666667,2,0,0.302325581395349,0.255813953488372,0,0.0232558139534884,0.0232558139534884,0.581395348837209,0,0,60,1
9,2,1534,1090,767,29.6330275229358,8,1,0,0.302325581395349,0.255813953488372,0,0.0232558139534884,0.0232558139534884,0.581395348837209,0,0,60,1
10,5109,6287471,2224.18045575857,1230,44.6987317591324,6.48778484910696,2.74625333607062,0.647840531561462,0.318936877076412,10.5049833887043,0.0996677740863787,2.73089700996678,0.837209302325582,1.19601328903654,0,0,53.45,1
11,7573,10591084,2524.70015033484,1398,44.6270877032827,6.54653546535465,2.83791171245046,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
