"week","product_analytic_sub_category","units","gmv","product_mrp","discount_mrp","discount","sla","procurement_sla","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS","Holiday.Sale"
10,"GamingAccessory",5110,3865451,1570.43345694273,756,51.8604244797638,5.06468891635764,2.59208899876391,0.647840531561462,0.318936877076412,10.5049833887043,0.0996677740863787,2.73089700996678,0.837209302325582,1.19601328903654,0,0,53.45,1
10,"CameraStorage",572,439536,1480.03759398496,768,48.1094261982778,5.48872180451128,2.37593984962406,0.647840531561462,0.318936877076412,10.5049833887043,0.0996677740863787,2.73089700996678,0.837209302325582,1.19601328903654,0,0,53.45,1
10,"Speaker",13716,15370869.5052583,2043.43994661922,1120,45.1904617087969,5.29433570581257,2.32310201660735,0.647840531561462,0.318936877076412,10.5049833887043,0.0996677740863787,2.73089700996678,0.837209302325582,1.19601328903654,0,0,53.45,1
10,"Game",2930,5305218,2535.9630404463,1810,28.6267200612885,4.18340306834031,31.5244072524407,0.647840531561462,0.318936877076412,10.5049833887043,0.0996677740863787,2.73089700996678,0.837209302325582,1.19601328903654,0,0,53.45,1
10,"TVVideoSmall",3076,4170296,2243.92323651452,1355,39.6146901128081,4.79598893499308,2.64384508990318,0.647840531561462,0.318936877076412,10.5049833887043,0.0996677740863787,2.73089700996678,0.837209302325582,1.19601328903654,0,0,53.45,1
10,"HomeAudio",3150,6503302,3647.58274760383,2064,43.4145804819402,5.69968051118211,2.71182108626198,0.647840531561462,0.318936877076412,10.5049833887043,0.0996677740863787,2.73089700996678,0.837209302325582,1.19601328903654,0,0,53.45,1
11,"AmplifierReceiver",318,615974,3285.4213836478,1937,41.0425703795307,5.84276729559748,2.91194968553459,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
11,"AudioAccessory",456,536992,1732.72566371681,1177,32.0723398604684,8.38053097345133,3.42035398230089,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
11,"AudioMP3Player",3958,6376109,3536.45185375901,1610,54.4741433906791,6.00720906282183,2.57080329557158,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
11,"Camera",2048,29761040,18173.0671936759,14531,20.0410153930609,4.85375494071146,2.64723320158103,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
11,"CameraAccessory",7573,10591084,2524.70015033484,1398,44.6270877032827,6.54653546535465,2.83791171245046,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
11,"GamingAccessory",5451,4990356,2087.42339092462,915,56.1660560105777,5.55078792481488,2.61477121701158,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
11,"CameraStorage",807,845043,1897.01449275362,1047,44.8080125903403,5.63899868247694,2.42160737812912,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
11,"GamingConsole",606,3715652,7530.57432432432,6131,18.5852268903793,5.98310810810811,2.94256756756757,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
11,"Game",2506,4724774,2500.33654618474,1885,24.6101488667068,4.56626506024096,39.7871485943775,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
11,"Speaker",14884,20863775,2555.65166101695,1401,45.180322444941,5.60474576271186,2.45016949152542,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
11,"TVVideoSmall",5758,7248855,2221.18579136691,1258,43.3635851224389,4.8544964028777,2.69064748201439,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
11,"HomeAudio",4370,8782240,3507.92952556426,2009,42.7297502598246,5.57116536158452,2.80838323353293,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
11,"HomeTheatre",14,207540,17561.4285714286,14824,15.587732856097,5.85714285714286,4.57142857142857,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,"AmplifierReceiver",264,658022,4034.7874015748,2492,38.2371423330172,5.81102362204724,3.13385826771654,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,"AudioAccessory",414,547796,2029.495,1323,34.8113693307941,8.765,2.955,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,"AudioMP3Player",3739,5409645,3122.28017358286,1446,53.6876923398999,6.435584486032,2.66639544344996,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,"GamingAccessory",5689,5326478.00235581,2331.56809410035,936,59.8553436046584,5.56202903877964,2.68608711633891,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,"Camera",2134,35352664,20701.8265402844,16566,19.9780755202268,5.62938388625592,2.58388625592417,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,"GamingConsole",672,3784580,6925.37160120846,5631,18.6902837240184,6.47129909365559,2.72205438066465,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,"CameraAccessory",7012,9738812,2542.35309813223,1388,45.4049085070161,6.42780907204269,2.82448858582864,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,"CameraStorage",530,573606,2057.00408163265,1082,47.3992293130886,4.95102040816327,2.34285714285714,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,"HomeTheatre",24,305218,13600.75,12717,6.49780342995791,6,4.25,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,"Game",2632,4542656,2450.88052754073,1725,29.617132266708,5.05197827773468,78.7618308766486,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,"HomeAudio",3860,7566928,3321.00999473961,1960,40.9818096571649,6.09731720147291,2.69016307206733,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,"Speaker",13292,17889894,2473.28159780454,1345,45.6188085823339,5.84601311175484,2.43360268333587,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,"TVVideoSmall",4161,5828387,2398.38438363043,1400,41.6273717609509,5.12628671855385,2.53025357770525,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
13,"AmplifierReceiver",268,542350,3642.67669172932,2023,44.4639156532006,5.89473684210526,2.94736842105263,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
13,"AudioAccessory",460,549670,1739.47787610619,1194,31.3587130712603,9.07964601769912,2.93362831858407,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
13,"AudioMP3Player",3638,5237194,3772.37701277068,1439,61.8542898780124,6.52359800111049,2.88672959466963,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
13,"Camera",2277,32093325,18984.3677189862,14094,25.7599715269704,5.33614939973321,2.67185415740329,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
13,"CameraAccessory",6912,9635050,2598.1751497006,1393,46.3854467178426,6.39191616766467,2.99910179640719,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
