"week","units","gmv","product_mrp","discount_mrp","discount","sla","procurement_sla","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS","Holiday.Sale"
1,40,112044,4690.3,2801,40.2810054793936,2.725,3.375,0.026578073089701,0.332225913621262,0.983388704318937,0,0.172757475083056,0.0664451827242525,0.664451827242525,0,0,54.6,0
2,1793,3943200.1330905,3474.76659167604,2199,36.7151737538917,7.44713160854893,2.73340832395951,0.0465116279069768,0.581395348837209,1.72093023255814,0,0.302325581395349,0.116279069767442,1.16279069767442,0,0,54.6,0
3,2601,5698659,3535.62694099379,2190,38.0590758994376,7.21777950310559,2.63664596273292,0.0465116279069768,0.581395348837209,1.72093023255814,0,0.302325581395349,0.116279069767442,1.16279069767442,0,0,54.6,1
4,2292,4755817,3429.4907651715,2074,39.5245492111339,7.20184696569921,2.740545294635,0.0465116279069768,0.581395348837209,1.72093023255814,0,0.302325581395349,0.116279069767442,1.16279069767442,0,0,54.6,1
5,1996,4332856,3510.52819738167,2170,38.1859401779341,7.31520644511581,2.67724068479356,0.0398671096345515,0.541528239202658,1.51162790697674,0,0.262458471760797,0.102990033222591,1.0797342192691,0,0,57.3,0
6,1,2599,3099,2599,16.134236850597,9,2,0,0.302325581395349,0.255813953488372,0,0.0232558139534884,0.0232558139534884,0.581395348837209,0,0,60,0
10,3150,6503302,3647.58274760383,2064,43.4145804819402,5.69968051118211,2.71182108626198,0.647840531561462,0.318936877076412,10.5049833887043,0.0996677740863787,2.73089700996678,0.837209302325582,1.19601328903654,0,0,53.45,1
11,4370,8782240,3507.92952556426,2009,42.7297502598246,5.57116536158452,2.80838323353293,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
12,3860,7566928,3321.00999473961,1960,40.9818096571649,6.09731720147291,2.69016307206733,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
13,4563,8719693,3185.00793126239,1910,40.0315465072339,6.3291473892928,2.63031504736726,0.906976744186047,0.325581395348837,14.6046511627907,0.13953488372093,3.81395348837209,1.16279069767442,1.44186046511628,0,0,46.9,0
14,3409,6430920,3144.97036158862,1886,40.0312313580175,6.36425607587433,2.48606994665086,1.12624584717608,1.44186046511628,16.7873754152824,0.418604651162791,4.61129568106312,1.36212624584718,4.00332225913621,0,0,45.65,0
15,2003,3912433,3200.72487309645,1953,38.9825718412771,6.03096446700508,2.53807106598985,1.41860465116279,2.93023255813953,19.6976744186047,0.790697674418605,5.67441860465116,1.62790697674419,7.41860465116279,0,0,44.4,0
16,7815,18886335,4688.05481749,2416,48.4647664317728,5.90506900554624,2.30878369663356,1.41860465116279,2.93023255813953,19.6976744186047,0.790697674418605,5.67441860465116,1.62790697674419,7.41860465116279,0,0,44.4,1
17,2848,6376543,3834.30296534477,2238,41.6321553036494,6.68453018935334,2.59414076455877,1.41860465116279,2.93023255813953,19.6976744186047,0.790697674418605,5.67441860465116,1.62790697674419,7.41860465116279,0,0,44.4,0
18,2924,6339639,3713.26355785838,2168,41.6147018325197,6.50397236614853,2.48946459412781,1.41860465116279,2.93023255813953,19.6976744186047,0.790697674418605,5.67441860465116,1.62790697674419,7.41860465116279,0,0,44.4,0
19,3212,6742078,4137.26874606175,2099,49.2660465434345,5.28386893509767,2.65752993068683,0.976744186046512,0.302325581395349,3.30232558139535,0.0465116279069768,4.55813953488372,1.53488372093023,1.2093023255814,0,0,47,1
20,3109,6824830.80005235,4133.75113858165,2195,46.900528686564,5.94469746258946,2.35328562134027,0.976744186046512,0.302325581395349,3.30232558139535,0.0465116279069768,4.55813953488372,1.53488372093023,1.2093023255814,0,0,47,1
21,1824,4006679,3855.67900552486,2196,43.0450512904908,5.93812154696133,2.4939226519337,0.976744186046512,0.302325581395349,3.30232558139535,0.0465116279069768,4.55813953488372,1.53488372093023,1.2093023255814,0,0,47,0
22,2016,4120791.5,3387.29444166249,2044,39.6568548969484,6.44516775162744,2.40360540811217,0.976744186046512,0.302325581395349,3.30232558139535,0.0465116279069768,4.55813953488372,1.53488372093023,1.2093023255814,0,0,47,0
23,2245,4639718,3797.26543488058,2066,45.5924260384243,5.86615592609283,2.65344749887337,1.17607973421927,0.601328903654485,10.3621262458472,0.196013289036545,5.03986710963455,1.56810631229236,2.20598006644518,0,0,46.4,0
24,3210,7051869.17546289,4658.5037593985,2196,52.8604008192633,4.99874686716792,2.85588972431078,1.25581395348837,0.72093023255814,13.1860465116279,0.255813953488372,5.23255813953488,1.58139534883721,2.6046511627907,0,0,45.8,0
25,2432,5231944,3994.69909315746,2151,46.1536413672695,5.91549876339654,2.70239076669415,1.25581395348837,0.72093023255814,13.1860465116279,0.255813953488372,5.23255813953488,1.58139534883721,2.6046511627907,0,0,45.8,0
26,4122,9556839.25002573,4575.42927794263,2318,49.3380870036679,4.92655786350148,1.54426310583581,1.25581395348837,0.72093023255814,13.1860465116279,0.255813953488372,5.23255813953488,1.58139534883721,2.6046511627907,0,0,45.8,1
27,2515,5406929.25002573,3795.5378454145,2149,43.3808833550093,5.66960352422907,2.40528634361233,1.18936877076412,0.548172757475083,9.69767441860465,0.242524916943522,5.25913621262458,1.62126245847176,2.13953488372093,0.179401993355482,1.80066445182724,46.45,1
28,3383,7223946,4314.37982195846,2135,50.5143244659705,5.00860534124629,2.75994065281899,1.02325581395349,0.116279069767442,0.976744186046512,0.209302325581395,5.32558139534884,1.72093023255814,0.976744186046512,0.627906976744186,6.30232558139535,47.1,1
29,2501,5456913,4208.43890675241,2181,48.1755575327326,5.40032154340836,2.76567524115756,1.02325581395349,0.116279069767442,0.976744186046512,0.209302325581395,5.32558139534884,1.72093023255814,0.976744186046512,0.627906976744186,6.30232558139535,47.1,0
30,3033,6375502.34010856,4016.66341299226,2102,47.6680074013448,5.425782564793,2.30461124200606,1.02325581395349,0.116279069767442,0.976744186046512,0.209302325581395,5.32558139534884,1.72093023255814,0.976744186046512,0.627906976744186,6.30232558139535,47.1,1
