"week","gmv","product_mrp","list_price","units","Promotion","sla","cat_luxury","cat_mid","cat_premium","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
14,998902,39581.3793103448,34444.8965517241,29,0.137902363099432,4.17241379310345,0,1,0,0,1,1.317087685,1.700327265,57.37015499,0.818208032,5.43223508,1.454658541,5.292046718,0,0,45.65
15,395577,39556.25,32964.75,12,0.15578109547649,5.33333333333333,0,1,0,0,0,1.647974084,3.683810806,69.16821429,1.522153137,6.638401676,1.73514588,9.971833605,0,0,44.4
15,3753474,2048.87696986453,1018.83245783799,3709,0.486418753664941,6.04865910975947,0,0,0,0,0,1.647974084,3.683810806,69.16821429,1.522153137,6.638401676,1.73514588,9.971833605,0,0,44.4
16,43900,100900,43900,1,0.564915758176412,3,0,0,1,3,0,1.705597602,4.562882783,79.34173332,2.151460689,6.852443256,1.755823691,12.22966843,0,0,44.4
16,1202630,40537.3783783784,32503.5135135135,37,0.19763248379347,4.2972972972973,0,1,0,3,0,1.705597602,4.562882783,79.34173332,2.151460689,6.852443256,1.755823691,12.22966843,0,0,44.4
16,11791900.981193,2270.63978392722,1106.12575815011,10844,0.530747812274254,6.26819560272934,0,0,0,3,0,1.705597602,4.562882783,79.34173332,2.151460689,6.852443256,1.755823691,12.22966843,0,0,44.4
17,4328279.11054865,2142.21335909467,1172.14435550649,3777,0.435426870490562,7.09163676511179,0,0,0,0,2,1.715632677,4.95248397,88.11440403,2.714044321,6.890426233,1.757348081,13.31899541,0,0,44.4
17,224098,89598.3333333333,74699.3333333333,3,0.166199714635704,6,0,0,1,0,2,1.715632677,4.95248397,88.11440403,2.714044321,6.890426233,1.757348081,13.31899541,0,0,44.4
17,424755,40425,32673.4615384615,13,0.183174669300556,7,0,1,0,0,2,1.715632677,4.95248397,88.11440403,2.714044321,6.890426233,1.757348081,13.31899541,0,0,44.4
18,5002350.50150659,2000.33628509719,1059.29265658747,4779,0.460529014468071,6.5133909287257,0,0,0,0,0,1.717380275,5.125153658,95.67911701,3.216978606,6.897166543,1.75746046,13.84455788,0,0,44.4
18,470952,39154.6666666667,31396.8,15,0.199031835585289,5.6,0,1,0,0,0,1.717380275,5.125153658,95.67911701,3.216978606,6.897166543,1.75746046,13.84455788,0,0,44.4
18,73775,89900,73775,1,0.1793659621802,6,0,0,1,0,0,1.717380275,5.125153658,95.67911701,3.216978606,6.897166543,1.75746046,13.84455788,0,0,44.4
19,86798,106900,43399,2,0.594022450888681,6.5,0,0,1,1,0,1.275824152,2.573773197,85.80685383,2.922401969,5.782083582,1.664445489,7.888821217,0,0,47
19,4844224,1993.57305788681,1026.44932214332,4785,0.47837942102681,6.08758338713148,0,0,0,1,0,1.275824152,2.573773197,85.80685383,2.922401969,5.782083582,1.664445489,7.888821217,0,0,47
19,621393,39555.7894736842,32704.8947368421,19,0.169838846617429,5.63157894736842,0,1,0,1,0,1.275824152,2.573773197,85.80685383,2.922401969,5.782083582,1.664445489,7.888821217,0,0,47
20,4878046.00054277,2135.06712172924,1097.59340159272,4496,0.460343297737973,6.66302616609784,0,0,0,7,1,1.198927619,1.443011575,77.29395737,2.659058563,5.584205345,1.657588331,5.015384889,0,0,47
20,807296,48634.75,40364.8,20,0.164005883027144,5.95,0,1,0,7,1,1.198927619,1.443011575,77.29395737,2.659058563,5.584205345,1.657588331,5.015384889,0,0,47
20,82995,89900,82995,1,0.0768075639599555,12,0,0,1,7,1,1.198927619,1.443011575,77.29395737,2.659058563,5.584205345,1.657588331,5.015384889,0,0,47
21,3699482,2243.37907050269,1152.80777742649,3257,0.459223778553464,6.2105595953209,0,0,0,0,0,1.185536168,0.941862544,69.95324888,2.423636805,5.549090652,1.657082814,3.629051544,0,0,47
21,166399,96900,55466.3333333333,3,0.41523442746069,4.33333333333333,0,0,1,0,0,1.185536168,0.941862544,69.95324888,2.423636805,5.549090652,1.657082814,3.629051544,0,0,47
21,237110,39090,33872.8571428571,7,0.138532060618296,4.57142857142857,0,1,0,0,0,1.185536168,0.941862544,69.95324888,2.423636805,5.549090652,1.657082814,3.629051544,0,0,47
22,91129,106900,45564.5,2,0.573765201122544,8,0,0,1,0,1,1.183204061,0.719755296,63.62332329,2.213176232,5.542859336,1.657045547,2.960193799,0,0,47
22,608082,43225.4705882353,35769.5294117647,17,0.165225515467987,6.05882352941176,0,1,0,0,1,1.183204061,0.719755296,63.62332329,2.213176232,5.542859336,1.657045547,2.960193799,0,0,47
22,4103447.00108554,2282.33931832015,1231.08947048083,3369,0.421065937766099,6.34449178332319,0,0,0,0,1,1.183204061,0.719755296,63.62332329,2.213176232,5.542859336,1.657045547,2.960193799,0,0,47
23,4541677,2247.28455723542,1214.50755939525,3778,0.436961094046456,6.28455723542117,0,0,0,0,0,1.382133475,0.920321574,65.22480096,2.174531933,6.023481126,1.690265391,3.634170882,0,0,46.4
23,960290,42456.5714285714,34296.0714285714,28,0.181614695308891,7.07142857142857,0,1,0,0,0,1.382133475,0.920321574,65.22480096,2.174531933,6.023481126,1.690265391,3.634170882,0,0,46.4
23,363998,100871.428571429,51999.7142857143,7,0.466425805009727,9.85714285714286,0,0,1,0,0,1.382133475,0.920321574,65.22480096,2.174531933,6.023481126,1.690265391,3.634170882,0,0,46.4
24,5175425,2317.2772716655,1191.84349451063,4388,0.47392317826251,5.92758701238029,0,0,0,0,0,1.496511043,1.128813076,69.42968255,2.199785658,6.301461409,1.706003428,4.358012539,0,0,45.8
24,1475889,44368.8536585366,35997.2926829268,41,0.174929336412802,6.51219512195122,0,1,0,0,0,1.496511043,1.128813076,69.42968255,2.199785658,6.301461409,1.706003428,4.358012539,0,0,45.8
24,75549,89900,75549,1,0.159632925472747,6,0,0,1,0,0,1.496511043,1.128813076,69.42968255,2.199785658,6.301461409,1.706003428,4.358012539,0,0,45.8
25,81475,94995,81475,1,0.142323280172641,7,0,0,1,0,0,1.516429775,1.221215676,73.05557065,2.222361793,6.350790696,1.707163652,4.707241028,0,0,45.8
25,4687193,2287.0793161435,1298.32987668161,3668,0.421633572332265,6.63396860986547,0,0,0,0,0,1.516429775,1.221215676,73.05557065,2.222361793,6.350790696,1.707163652,4.707241028,0,0,45.8
25,404169,39538.6666666667,33680.75,12,0.147126385119067,5.83333333333333,0,1,0,0,0,1.516429775,1.221215676,73.05557065,2.222361793,6.350790696,1.707163652,4.707241028,0,0,45.8
26,6359542,2480.12269412269,1347.83247533248,4781,0.475665553112359,6.42857142857143,0,0,0,2,2,1.519898602,1.262168139,76.18219008,2.242544236,6.359544478,1.707249185,4.875731658,0,0,45.8
26,199589,95233.3333333333,66529.6666666667,3,0.282780847479083,6.66666666666667,0,0,1,2,2,1.519898602,1.262168139,76.18219008,2.242544236,6.359544478,1.707249185,4.875731658,0,0,45.8
26,780070,40828.652173913,33916.0869565217,23,0.171849271598856,6.17391304347826,0,1,0,2,2,1.519898602,1.262168139,76.18219008,2.242544236,6.359544478,1.707249185,4.875731658,0,0,45.8
27,4408243,1959.29307326832,1078.27906976744,4157,0.440726227576046,6.152288072018,0,0,0,7,0,1.454057512,1.107560632,75.38991584,2.247297748,6.387675962,1.7471226,4.491906263,0.179401993,1.800664452,46.45
27,250678,103600,62669.5,4,0.412771744784262,6,0,0,1,7,0,1.454057512,1.107560632,75.38991584,2.247297748,6.387675962,1.7471226,4.491906263,0.179401993,1.800664452,46.45
27,655889,42997.2105263158,34520.4736842105,19,0.185700183573877,6.63157894736842,0,1,0,7,0,1.454057512,1.107560632,75.38991584,2.247297748,6.387675962,1.7471226,4.491906263,0.179401993,1.800664452,46.45
28,90800,90925,45400,2,0.492772888353185,4,0,0,1,1,0,1.276478398,0.607145515,65.98580401,2.218324666,6.459113248,1.849729883,3.143933128,0.778171565,7.856954164,47.1
28,4983460,1672.72820605187,885.049711815562,5678,0.483848589669492,5.91462536023055,0,0,0,1,0,1.276478398,0.607145515,65.98580401,2.218324666,6.459113248,1.849729883,3.143933128,0.778171565,7.856954164,47.1
28,555971,44350,37064.7333333333,15,0.149901621189201,7,0,1,0,1,0,1.276478398,0.607145515,65.98580401,2.218324666,6.459113248,1.849729883,3.143933128,0.778171565,7.856954164,47.1
29,3912260,1873.13459516299,1014.80415352261,3882,0.46949700973445,6.64616193480547,0,0,0,0,0,1.245553183,0.385363535,57.87659653,2.192423528,6.471790227,1.857294196,2.493582853,1.279692543,13.08573573,47.1
29,501299,46101.1538461538,38561.4615384615,13,0.159751508347017,5.61538461538461,0,1,0,0,0,1.245553183,0.385363535,57.87659653,2.192423528,6.471790227,1.857294196,2.493582853,1.279692543,13.08573573,47.1
29,120025,98400,60012.5,2,0.370705913753042,5,0,0,1,0,0,1.245553183,0.385363535,57.87659653,2.192423528,6.471790227,1.857294196,2.493582853,1.279692543,13.08573573,47.1
30,101149,87725,50574.5,2,0.423947498455837,5.5,0,0,1,3,0,1.240167589,0.287070648,50.88399085,2.169268623,6.474039834,1.857851845,2.179811407,1.699759466,17.60007668,47.1
30,6370303,2116.81294828237,1189.69497923745,5419,0.478748865674325,6.29482823707059,0,0,0,3,0,1.240167589,0.287070648,50.88399085,2.169268623,6.474039834,1.857851845,2.179811407,1.699759466,17.60007668,47.1
30,728940,39262.0833333333,30372.5,24,0.219787660285668,6.79166666666667,0,1,0,3,0,1.240167589,0.287070648,50.88399085,2.169268623,6.474039834,1.857851845,2.179811407,1.699759466,17.60007668,47.1
31,76775,89900,76775,1,0.145995550611791,7,0,0,1,0,1,1.239229693,0.243507634,44.85423587,2.148568776,6.474439041,1.857892955,2.028427569,2.051601617,21.49759543,47.1
31,515052,42061.9333333333,34336.8,15,0.171976428304749,6.06666666666667,0,1,0,0,1,1.239229693,0.243507634,44.85423587,2.148568776,6.474439041,1.857892955,2.028427569,2.051601617,21.49759543,47.1
31,4697899,2194.86392847164,1301.61413802738,3658,0.424985592502648,6.92120704107293,0,0,0,0,1,1.239229693,0.243507634,44.85423587,2.148568776,6.474439041,1.857892955,2.028427569,2.051601617,21.49759543,47.1
32,266319,82540,53263.8,5,0.359227229239952,8.4,0,0,1,2,0,0.880262373,0.503270447,41.14976793,2.070263017,5.876503238,1.678493993,2.094925003,1.808093678,19.46057885,48.7
32,4933274,1741.35008252338,892.529800110031,5590,0.504015936126385,6.34568127636164,0,0,0,2,0,0.880262373,0.503270447,41.14976793,2.070263017,5.876503238,1.678493993,2.094925003,1.808093678,19.46057885,48.7
32,145535,180000,145535,1,0.191472222222222,7,1,0,0,2,0,0.880262373,0.503270447,41.14976793,2.070263017,5.876503238,1.678493993,2.094925003,1.808093678,19.46057885,48.7
32,321095,44693.3333333333,35677.2222222222,9,0.186251812614585,6.88888888888889,0,1,0,2,0,0.880262373,0.503270447,41.14976793,2.070263017,5.876503238,1.678493993,2.094925003,1.808093678,19.46057885,48.7
33,490237,39283.3333333333,32682.4666666667,15,0.171060193124083,6.06666666666667,0,1,0,0,0,0.757947928,0.664907916,38.20455818,1.990293047,5.670728128,1.635368187,2.150263522,1.514433854,16.80156016,50.3
33,4233327,1963.77024291498,1050.98329959514,4082,0.452465343474186,6.31528340080972,0,0,0,0,0,0.757947928,0.664907916,38.20455818,1.990293047,5.670728128,1.635368187,2.150263522,1.514433854,16.80156016,50.3
33,148050,180000,148050,1,0.1775,9,1,0,0,0,0,0.757947928,0.664907916,38.20455818,1.990293047,5.670728128,1.635368187,2.150263522,1.514433854,16.80156016,50.3
33,200082,86916.6666666667,66694,3,0.2389294489817,5.66666666666667,0,0,1,0,0,0.757947928,0.664907916,38.20455818,1.990293047,5.670728128,1.635368187,2.150263522,1.514433854,16.80156016,50.3
34,114890,97425,57445,2,0.404650534756115,5.5,0,0,1,3,0,0.736646996,0.736544996,35.66489071,1.918802094,5.634212086,1.632188909,2.176962438,1.268468512,14.50585956,50.3
34,5684252,1704.30241870895,896.693736985424,6401,0.471421105260466,6.30578247637354,0,0,0,3,0,0.736646996,0.736544996,35.66489071,1.918802094,5.634212086,1.632188909,2.176962438,1.268468512,14.50585956,50.3
34,525091,39744.6875,32818.1875,16,0.162068413077608,6,0,1,0,3,0,0.736646996,0.736544996,35.66489071,1.918802094,5.634212086,1.632188909,2.176962438,1.268468512,14.50585956,50.3
35,270135,43192.5,33766.875,8,0.221329555533425,5.375,0,1,0,1,0,0.732937461,0.768294263,33.47492416,1.85489115,5.627732093,1.631954529,2.189843738,1.062451399,12.52383466,50.3
35,5451415,1916.76749515248,953.347082672307,5771,0.517845820007321,6.28115635466244,0,0,0,1,0,0.732937461,0.768294263,33.47492416,1.85489115,5.627732093,1.631954529,2.189843738,1.062451399,12.52383466,50.3
35,209499,93233.3333333333,69833,3,0.237310663478493,6.66666666666667,0,0,1,1,0,0.732937461,0.768294263,33.47492416,1.85489115,5.627732093,1.631954529,2.189843738,1.062451399,12.52383466,50.3
36,4790174.00273985,1609.22462320683,853.341565280552,5646,0.482309694813448,6.13691665153441,0,0,0,0,0,1.84524826,0.815588003,36.55328366,1.764533933,5.377412744,1.582103363,2.245892406,1.039396021,13.45382205,49.65
