"week","product_analytic_sub_category","gmv","product_mrp","list_price","units","Promotion","sla","procurement_sla","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
1,"AmplifierReceiver",4766,2374.75,1191.5,4,0.494603151575788,4.75,3.25,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"Camera",105340,15994.8888888889,11704.4444444444,9,0.212974095225788,3.11111111111111,2.44444444444444,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"AudioAccessory",12849,7211.33333333333,4283,3,0.27460760327442,6.33333333333333,1.66666666666667,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"CameraAccessory",18196,1422.53571428571,649.857142857143,28,0.456362920359957,2.5,2.60714285714286,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"AudioMP3Player",26313,2326.3125,1619.875,17,0.418542078187356,3.0625,2.1875,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"CameraStorage",2962,1346,542,6,0.511501007001656,2.8,2.2,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"Game",70828,3469.83333333333,2951.16666666667,24,0.138947353779565,2.08333333333333,3.79166666666667,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"GamingAccessory",39520,3275.1875,1221.28125,33,0.249539267739252,2.8125,2.71875,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"TVVideoSmall",110483,2771.55555555556,1570.2962962963,67,0.560535866992479,1.46296296296296,3.16666666666667,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"GamingConsole",36618,8027.6,7323.6,5,0.241526999091299,4.4,2.8,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"Speaker",130952,2920.73684210526,1719.13157894737,78,0.326001686823045,3.32894736842105,2.39473684210526,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
1,"HomeAudio",112044,4690.3,2801.1,40,0.364205685368225,2.725,3.375,0,0,0.026578073,0.332225914,0.983388704,0,0.172757475,0.066445183,0.664451827,0,0,54.6
2,"AmplifierReceiver",150978,2805.07766990291,1465.80582524272,103,0.49242430157156,4.30097087378641,3.14563106796116,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
2,"Camera",7612349,13575.7657142857,10817.1557142857,707,0.262050239371014,5.03428571428571,2.82571428571429,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
2,"AudioAccessory",211635,2462.75229357798,1906.57798165138,114,0.211546909355261,7.43119266055046,1.75229357798165,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
2,"Game",2223387,2830.72770398482,2102.75996204934,1057,0.217414055898341,5.60721062618596,26.8899430740038,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
2,"AudioMP3Player",1744376,2900.21958684009,1327.88599846978,1323,0.439067998231245,6.46212700841622,2.59066564651875,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
2,"GamingAccessory",2413586,1848.89348230912,863.324767225326,2842,0.406531307452919,5.0975791433892,3.03054003724395,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
2,"CameraStorage",191657.666666667,2518.8375,1154.1125,170,0.490681089097549,5.4375,2.6875,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
2,"CameraAccessory",3320523,2366.48132950349,1344.42921624949,2551,0.4241064819464,6.91423881821912,2.71112022979073,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
2,"TVVideoSmall",2286370,2222.10561797753,1257.63483146067,1836,0.494297809582671,5.34831460674157,2.78483146067416,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
2,"Speaker",9738983,2357.12112278903,1231.6900794668,7917,0.415396615893306,6.37477569853884,2.45437067418611,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
2,"HomeAudio",3938103.1330905,3478.67961711712,2204.4375,1790,0.319457986250708,7.44538288288288,2.73761261261261,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
2,"GamingConsole",1692546,10325.3244680851,8906.6329787234,189,0.280222183993004,6.73404255319149,2.97340425531915,0,0,0.051140171,0.728636546,2.568910687,0,0.332982443,0.121177476,1.483365654,0,0,54.6
3,"TVVideoSmall",3438675,2349.44467994913,1447.54429843154,2426,0.437557714552849,5.39720220432387,2.69309029249682,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,"Game",3246540,2868.93618339529,1976.65737298637,1639,0.266486076409514,4.75898389095415,32.8135068153655,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,"Camera",13870430,18232.4101522843,14018.3664974619,996,0.218118821426122,4.43553299492386,2.98578680203046,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,"CameraAccessory",4811807,2607.84368994234,1522.90358744395,3224,0.430622313941765,6.71204356181935,2.71236386931454,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,"AudioAccessory",252322,2584.65354330709,1983.48818897638,128,0.237710228242441,7.56692913385827,1.97637795275591,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,"AudioMP3Player",2141837,3121.90598802395,1270.42694610778,1700,0.445041028145735,6.14790419161677,2.68502994011976,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,"CameraStorage",243718.666666667,2118.25438596491,974.083333333333,255,0.488155112365466,5.10087719298246,2.55263157894737,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,"GamingAccessory",2349000.35919791,1771.6523154848,827.309696092619,3019,0.409554216763464,5.53002894356006,2.55426917510854,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,"HomeAudio",5695269,3537,2197.64699029126,2600,0.322954986347505,7.21747572815534,2.63805825242718,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,"AmplifierReceiver",176529,3046.45544554455,1747.81188118812,101,0.468028712222836,5.98019801980198,3.21782178217822,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,"Speaker",11385534.737513,2817.89643088903,1453.28513951979,7830,0.393075757194409,6.81064243997404,2.61479558728099,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
3,"GamingConsole",2561394,10161.5778546713,8854.79584775087,292,0.288935503264713,6.67474048442907,2.97231833910035,1,1,0.055417635,0.904324154,3.936113346,0,0.361415336,0.125212396,1.878463166,0,0,54.6
4,"Camera",12813053,17322.232832618,13712.0225321888,939,0.196380703290893,4.32188841201717,2.48068669527897,1,0,0.056162551,0.982188199,5.115058282,0,0.366460925,0.125509855,2.069084009,0,0,54.6
