"week","gmv","product_mrp","list_price","Promotion","sla","cat_luxury","cat_mid","cat_premium","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
17,15682,50000,1045.46666666667,0.979090666666667,2.46666666666667,0,1,0,0,2,1.715632677,4.95248397,88.11440403,2.714044321,6.890426233,1.757348081,13.31899541,0,0,44.4
18,2799687.96197879,1229.77057089252,727.618868935942,0.429556143246662,5.87322433663897,0,0,0,0,0,1.717380275,5.125153658,95.67911701,3.216978606,6.897166543,1.75746046,13.84455788,0,0,44.4
18,43642,50000,1091.05,0.978179,3.375,0,1,0,0,0,1.717380275,5.125153658,95.67911701,3.216978606,6.897166543,1.75746046,13.84455788,0,0,44.4
19,32051,50000,1105.20689655172,0.977895862068966,2.58620689655172,0,1,0,1,0,1.275824152,2.573773197,85.80685383,2.922401969,5.782083582,1.664445489,7.888821217,0,0,47
19,3251714.70928019,1189.84813559322,699.565875706215,0.450457657411222,5.24632768361582,0,0,0,1,0,1.275824152,2.573773197,85.80685383,2.922401969,5.782083582,1.664445489,7.888821217,0,0,47
20,30862,50000,1102.21428571429,0.977955714285714,3.17857142857143,0,1,0,7,1,1.198927619,1.443011575,77.29395737,2.659058563,5.584205345,1.657588331,5.015384889,0,0,47
20,2966806,1278.38112078346,789.001360174102,0.400292008065364,5.92383025027203,0,0,0,7,1,1.198927619,1.443011575,77.29395737,2.659058563,5.584205345,1.657588331,5.015384889,0,0,47
21,2101917,1276.73236282195,769.080253826054,0.405914220247171,5.83725270623367,0,0,0,0,0,1.185536168,0.941862544,69.95324888,2.423636805,5.549090652,1.657082814,3.629051544,0,0,47
21,30434.5,50000,1086.92857142857,0.978261428571429,3.21428571428571,0,1,0,0,0,1.185536168,0.941862544,69.95324888,2.423636805,5.549090652,1.657082814,3.629051544,0,0,47
22,2880111,1331.57710908114,750.461579795809,0.431166746068459,5.85948414830736,0,0,0,0,1,1.183204061,0.719755296,63.62332329,2.213176232,5.542859336,1.657045547,2.960193799,0,0,47
22,37664,50000,1046.22222222222,0.979075555555556,3.30555555555556,0,1,0,0,1,1.183204061,0.719755296,63.62332329,2.213176232,5.542859336,1.657045547,2.960193799,0,0,47
23,3020944,1288.41526757608,777.950419727177,0.400910834459368,6.05797481636936,0,0,0,0,0,1.382133475,0.920321574,65.22480096,2.174531933,6.023481126,1.690265391,3.634170882,0,0,46.4
23,41720,50000,1039.25641025641,0.979214871794872,2.92307692307692,0,1,0,0,0,1.382133475,0.920321574,65.22480096,2.174531933,6.023481126,1.690265391,3.634170882,0,0,46.4
24,3472871.50018525,1408.0979714154,784.880129091747,0.444895428076417,5.54195481788843,0,0,0,0,0,1.496511043,1.128813076,69.42968255,2.199785658,6.301461409,1.706003428,4.358012539,0,0,45.8
24,65007,49657.7631578947,1710.71052631579,0.960605473570397,3,0,1,0,0,0,1.496511043,1.128813076,69.42968255,2.199785658,6.301461409,1.706003428,4.358012539,0,0,45.8
25,2776994,1398.50331674959,752.786898839138,0.446564006734546,6.44941956882255,0,0,0,0,0,1.516429775,1.221215676,73.05557065,2.222361793,6.350790696,1.707163652,4.707241028,0,0,45.8
25,23319,50000,1110.42857142857,0.977791428571429,2.85714285714286,0,1,0,0,0,1.516429775,1.221215676,73.05557065,2.222361793,6.350790696,1.707163652,4.707241028,0,0,45.8
26,24576,50000,1024,0.97952,2.70833333333333,0,1,0,2,2,1.519898602,1.262168139,76.18219008,2.242544236,6.359544478,1.707249185,4.875731658,0,0,45.8
26,4294615,1569.71618547682,731.769728783902,0.505202322026866,5.78880139982502,0,0,0,2,2,1.519898602,1.262168139,76.18219008,2.242544236,6.359544478,1.707249185,4.875731658,0,0,45.8
27,3310312,1579.23044761436,795.637235612395,0.461175112107752,5.91023118544024,0,0,0,7,0,1.454057512,1.107560632,75.38991584,2.247297748,6.387675962,1.7471226,4.491906263,0.179401993,1.800664452,46.45
27,67277,50000,921.602739726027,0.981567945205479,2.9041095890411,0,1,0,7,0,1.454057512,1.107560632,75.38991584,2.247297748,6.387675962,1.7471226,4.491906263,0.179401993,1.800664452,46.45
28,3511352,1497.26337354883,780.718188026406,0.452268976213625,5.95265194627817,0,0,0,1,0,1.276478398,0.607145515,65.98580401,2.218324666,6.459113248,1.849729883,3.143933128,0.778171565,7.856954164,47.1
28,36836,50000,1084.45454545455,0.978310909090909,2.42424242424242,0,1,0,1,0,1.276478398,0.607145515,65.98580401,2.218324666,6.459113248,1.849729883,3.143933128,0.778171565,7.856954164,47.1
29,127818,50000,900.12676056338,0.981997464788732,3.11971830985915,0,1,0,0,0,1.245553183,0.385363535,57.87659653,2.192423528,6.471790227,1.857294196,2.493582853,1.279692543,13.08573573,47.1
29,3054766,1427.8098663926,774.303699897225,0.429781370034483,5.93833504624872,0,0,0,0,0,1.245553183,0.385363535,57.87659653,2.192423528,6.471790227,1.857294196,2.493582853,1.279692543,13.08573573,47.1
30,4657167.29745885,1473.09521158129,838.285634743875,0.441896680105111,5.90181885671863,0,0,0,3,0,1.240167589,0.287070648,50.88399085,2.169268623,6.474039834,1.857851845,2.179811407,1.699759466,17.60007668,47.1
30,102088,50000,954.283018867925,0.980914339622642,3.50943396226415,0,1,0,3,0,1.240167589,0.287070648,50.88399085,2.169268623,6.474039834,1.857851845,2.179811407,1.699759466,17.60007668,47.1
31,19544,50000,930.666666666667,0.981386666666667,3.9047619047619,0,1,0,0,1,1.239229693,0.243507634,44.85423587,2.148568776,6.474439041,1.857892955,2.028427569,2.051601617,21.49759543,47.1
31,3166516.50010994,1475.58367797077,849.292252550317,0.424102375707475,6.18527708850289,0,0,0,0,1,1.239229693,0.243507634,44.85423587,2.148568776,6.474439041,1.857892955,2.028427569,2.051601617,21.49759543,47.1
32,3150181.60083339,1344.15314426634,761.091491985203,0.432072085536487,5.98199753390875,0,0,0,2,0,0.880262373,0.503270447,41.14976793,2.070263017,5.876503238,1.678493993,2.094925003,1.808093678,19.46057885,48.7
32,14677,50000,1129,0.97742,3.23076923076923,0,1,0,2,0,0.880262373,0.503270447,41.14976793,2.070263017,5.876503238,1.678493993,2.094925003,1.808093678,19.46057885,48.7
33,3012191.05035884,1284.8200625451,710.685590570123,0.455672754997995,5.66947317777243,0,0,0,0,0,0.757947928,0.664907916,38.20455818,1.990293047,5.670728128,1.635368187,2.150263522,1.514433854,16.80156016,50.3
33,34056,50000,1001.64705882353,0.979967058823529,3.88235294117647,0,1,0,0,0,0.757947928,0.664907916,38.20455818,1.990293047,5.670728128,1.635368187,2.150263522,1.514433854,16.80156016,50.3
34,139375,49666.5,2111.74242424242,0.95119618406335,2.86363636363636,0,1,0,3,0,0.736646996,0.736544996,35.66489071,1.918802094,5.634212086,1.632188909,2.176962438,1.268468512,14.50585956,50.3
34,3687334.57581991,1215.7366535292,639.759226083841,0.485040775119923,5.46022930849158,0,0,0,3,0,0.736646996,0.736544996,35.66489071,1.918802094,5.634212086,1.632188909,2.176962438,1.268468512,14.50585956,50.3
35,29092,50000,1003.1724137931,0.979936551724138,2.6551724137931,0,1,0,1,0,0.732937461,0.768294263,33.47492416,1.85489115,5.627732093,1.631954529,2.189843738,1.062451399,12.52383466,50.3
35,3266462.10034887,1221.99307479224,630.918084685398,0.49251892728479,5.92144835773645,0,0,0,1,0,0.732937461,0.768294263,33.47492416,1.85489115,5.627732093,1.631954529,2.189843738,1.062451399,12.52383466,50.3
36,3669028.50129534,1270.19209039548,699.76797194623,0.474618157316331,5.85135398402494,0,0,0,0,0,1.84524826,0.815588003,36.55328366,1.764533933,5.377412744,1.582103363,2.245892406,1.039396021,13.45382205,49.65
36,3996,50000,999,0.98002,3.25,0,1,0,0,0,1.84524826,0.815588003,36.55328366,1.764533933,5.377412744,1.582103363,2.245892406,1.039396021,13.45382205,49.65
37,4694366.1411934,1421.7538806485,788.865643325285,0.468752089862038,5.36909279061745,0,0,0,3,1,2.484138739,0.849837436,41.19447772,1.670468031,5.233324283,1.55849473,2.292867498,1.079885825,15.31321793,49
37,19300,36995,19300,0.478307879443168,9,0,1,0,3,1,2.484138739,0.849837436,41.19447772,1.670468031,5.233324283,1.55849473,2.292867498,1.079885825,15.31321793,49
